Line Latitude,Line Longitude,Line Height
45.0044357,10.469175,0.5199999999999996
45.0044356,10.4691749,0.5300000000000011
45.0044355,10.4691749,0.5399999999999991
45.0044352,10.4691747,0.5399999999999991
45.0044349,10.4691747,0.5500000000000007
45.0044347,10.4691747,0.5500000000000007
45.0044344,10.4691745,0.5500000000000007
45.0044343,10.4691745,0.5599999999999987
45.004434,10.4691746,0.5399999999999991
45.0044338,10.4691746,0.5300000000000011
45.0044337,10.4691746,0.5199999999999996
45.0044336,10.4691746,0.48999999999999844
45.0044335,10.4691746,0.48999999999999844
45.0044333,10.4691746,0.4800000000000004
45.0044332,10.4691746,0.46999999999999886
45.0044331,10.4691746,0.4800000000000004
45.0044328,10.4691746,0.5
45.0044326,10.4691746,0.5100000000000016
45.0044325,10.4691746,0.5199999999999996
45.0044322,10.4691746,0.5100000000000016
45.0044319,10.4691745,0.5100000000000016
45.0044317,10.4691745,0.5100000000000016
45.0044314,10.4691745,0.5300000000000011
45.0044312,10.4691745,0.5300000000000011
45.004431,10.4691744,0.5300000000000011
45.0044308,10.4691743,0.5199999999999996
45.0044307,10.4691743,0.5300000000000011
45.0044306,10.4691743,0.5199999999999996
45.0044304,10.4691743,0.5199999999999996
45.0044303,10.4691743,0.5300000000000011
45.0044301,10.4691743,0.5300000000000011
45.0044299,10.4691743,0.5300000000000011
45.0044296,10.4691743,0.5100000000000016
45.0044293,10.4691745,0.5
45.0044292,10.4691745,0.48999999999999844
45.0044289,10.4691744,0.4800000000000004
45.0044286,10.4691743,0.46999999999999886
45.0044285,10.4691743,0.46999999999999886
45.0044283,10.4691743,0.46000000000000085
45.0044282,10.4691742,0.46000000000000085
45.0044279,10.4691742,0.4400000000000013
45.0044277,10.4691742,0.4299999999999997
45.0044275,10.4691742,0.4299999999999997
45.0044273,10.4691742,0.4299999999999997
45.0044272,10.4691741,0.4200000000000017
45.0044271,10.4691741,0.41000000000000014
45.0044269,10.4691741,0.39000000000000057
45.0044268,10.4691741,0.39000000000000057
45.0044266,10.4691741,0.3999999999999986
45.0044265,10.4691742,0.41000000000000014
45.0044264,10.4691743,0.4200000000000017
45.0044264,10.4691745,0.4400000000000013
45.0044263,10.4691746,0.46999999999999886
45.0044263,10.4691747,0.48999999999999844
45.0044263,10.469175,0.5100000000000016
45.0044263,10.469175,0.5199999999999996
45.0044263,10.4691751,0.5300000000000011
45.0044262,10.4691754,0.5399999999999991
45.0044262,10.4691757,0.5599999999999987
45.0044261,10.4691759,0.5599999999999987
45.0044261,10.4691756,0.5199999999999996
45.004426,10.4691754,0.5100000000000016
45.0044258,10.4691747,0.5
45.0044257,10.4691742,0.48999999999999844
45.0044254,10.4691734,0.46000000000000085
45.0044254,10.4691727,0.4400000000000013
45.0044255,10.4691725,0.4400000000000013
45.0044254,10.469172,0.4299999999999997
45.0044254,10.4691719,0.4400000000000013
45.0044254,10.4691718,0.4499999999999993
45.0044254,10.4691719,0.4499999999999993
45.0044254,10.4691719,0.46000000000000085
45.0044255,10.469172,0.46999999999999886
45.0044255,10.4691721,0.4499999999999993
45.0044254,10.4691723,0.4400000000000013
45.0044254,10.4691727,0.4299999999999997
45.0044254,10.4691729,0.4400000000000013
45.0044254,10.4691731,0.4400000000000013
45.0044254,10.4691735,0.4499999999999993
45.0044254,10.4691739,0.4499999999999993
45.0044254,10.4691741,0.4400000000000013
45.0044254,10.4691746,0.4400000000000013
45.0044254,10.4691748,0.4499999999999993
45.0044254,10.469175,0.4499999999999993
45.0044254,10.4691753,0.4499999999999993
45.0044254,10.4691755,0.4499999999999993
45.0044254,10.4691757,0.4499999999999993
45.0044254,10.4691762,0.4400000000000013
45.0044253,10.4691763,0.4400000000000013
45.0044253,10.4691766,0.4200000000000017
45.0044252,10.4691767,0.41000000000000014
45.0044252,10.4691769,0.41000000000000014
45.0044251,10.4691771,0.3999999999999986
45.004425,10.4691772,0.41000000000000014
45.0044249,10.4691774,0.41000000000000014
45.0044248,10.4691778,0.4299999999999997
45.0044248,10.4691779,0.4400000000000013
45.0044247,10.469178,0.4499999999999993
45.0044245,10.4691781,0.46000000000000085
45.0044245,10.4691782,0.46999999999999886
45.0044244,10.4691783,0.46999999999999886
45.0044243,10.4691784,0.46999999999999886
45.0044243,10.4691785,0.46000000000000085
45.0044241,10.4691787,0.46999999999999886
45.0044241,10.4691787,0.46000000000000085
45.0044241,10.469179,0.46000000000000085
45.0044241,10.469179,0.46999999999999886
45.004424,10.4691792,0.46999999999999886
45.004424,10.4691794,0.46999999999999886
45.004424,10.4691794,0.46999999999999886
45.004424,10.4691797,0.46000000000000085
45.004424,10.4691802,0.46000000000000085
45.004424,10.4691803,0.46000000000000085
45.004424,10.4691806,0.46999999999999886
45.0044239,10.4691808,0.4800000000000004
45.0044239,10.469181,0.4800000000000004
45.0044239,10.4691815,0.46999999999999886
45.0044238,10.4691815,0.46000000000000085
45.0044237,10.4691816,0.46000000000000085
45.0044235,10.4691818,0.46000000000000085
45.0044234,10.4691821,0.46000000000000085
45.0044234,10.4691823,0.46000000000000085
45.0044233,10.4691826,0.46999999999999886
45.0044233,10.4691826,0.4800000000000004
45.0044233,10.4691827,0.48999999999999844
45.0044233,10.4691827,0.5
45.0044233,10.4691827,0.5
45.0044232,10.4691827,0.48999999999999844
45.0044231,10.4691826,0.48999999999999844
45.0044231,10.4691826,0.48999999999999844
45.004423,10.4691826,0.48999999999999844
45.004423,10.4691827,0.48999999999999844
45.004423,10.4691827,0.48999999999999844
45.004423,10.4691828,0.5
45.004423,10.4691828,0.5100000000000016
